zip_code,city,state,county,s2014_03,s2014_06,s2014_09,s2014_12,s2015_03,s2015_06,s2015_09,s2015_12,s2016_03,s2016_06,s2016_09,s2016_12,s2017_03,s2017_06,s2017_09,s2017_12
1001,Agawam,MA,Hampden,177800,176600,177100,175800,177900,181300,181700,183200,183600,185500,189100,193200,195300,197600,200800,204200
1002,Amherst,MA,Hampshire,295700,291100,305300,309300,307000,303000,300100,301600,303600,304700,305200,311500,313600,318700,316700,322100
1005,Town of Barre,MA,Worcester,175200,177800,183800,184600,185000,190800,194800,202100,206600,208400,213900,223300,225700,219000,220800,223100
1007,Town of Belchertown,MA,Hampshire,248600,244800,256900,254400,250100,251400,250600,255500,258600,260100,259400,263100,264100,264900,264600,265700
1008,Blandford,MA,Hampden,214800,212000,215500,211600,214300,219300,218700,220700,220400,218300,216100,215500,217100,222300,227600,230000
1010,Brimfield,MA,Hampden,227500,224600,224500,219900,224100,225600,228900,234100,234600,235300,236400,239100,238700,245300,248900,247800
1011,Chester,MA,Hampden,170400,164800,161100,152300,153200,156900,159200,169400,175100,175900,170600,167400,167400,169000,174900,177500
1013,Chicopee,MA,Hampden,151600,151300,151200,149600,152500,157200,158800,160200,160500,162200,163900,165700,167700,170900,172600,174600
1020,Chicopee,MA,Hampden,159900,161300,162300,162200,166500,168600,168300,168500,167900,169900,171300,172800,175200,178400,182500,183900
1022,Chicopee,MA,Hampden,109400,110700,112300,109500,110600,111400,107500,106200,106300,105800,109200,113200,112500,112800,112400,113900
1026,Cummington,MA,Hampshire,228400,221500,229700,230100,231200,228900,229100,234000,237400,238800,234400,232700,230700,229000,227700,231200
1027,Easthampton,MA,Hampshire,226700,221000,229600,228400,225000,223600,223000,223900,225800,229100,229700,232100,237000,240000,238600,244500
1028,East Longmeadow,MA,Hampden,227900,228400,228500,225800,228500,230800,233900,238900,238500,237500,234800,236800,238000,240200,246900,251900
1030,Agawam,MA,Hampden,210700,212200,214800,212400,216100,220700,219000,221800,224000,224600,227800,228700,230900,235000,237000,238000
1033,Town of Granby,MA,Hampshire,207600,202000,207900,210800,210700,212700,212400,212500,216000,221600,225200,227000,231600,234000,233600,236700
1034,Tolland,MA,Hampden,244100,246100,244200,241200,246000,249000,249200,251900,252100,252400,252800,256000,255700,255500,261000,259000
